first_name,second_name,web_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,form,id,in_dreamteam,news,news_added,photo,points_per_game,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Folarin,Balogun,Balogun,44,0.0,0.0,232223,0,0,-1,1,0,4,0.0,0.0,0,0.0,1,False,Transferred to Monaco,2023-08-31T08:55:15.272751Z,232223.jpg,0.0,0.2,False,,u,1,3,0,10024,0,62761,132,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,662,67,651,67,620,64,666,68,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,541,96,565,51,671,71,329,52,0.0,0.0
Kieran,Tierney,Tierney,44,0.0,0.0,192895,0,0,-1,1,0,2,0.0,0.0,0,0.0,24,False,Season long loan to Real Sociedad,2023-08-29T07:46:59.686803Z,192895.jpg,0.0,0.1,False,,u,1,3,0,2665,0,28641,25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,656,254,644,254,613,249,660,254,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,523,99,557,229,665,252,416,162,0.0,0.0
Takehiro,Tomiyasu,Tomiyasu,45,75.0,0.0,223723,0,0,0,0,1,2,0.4,0.0,0,0.0,25,False,International Duty - 75% chance of playing,2023-12-02T18:30:08.259180Z,223723.jpg,3.0,0.3,False,,d,1,3,39,79932,396,89461,529,0.0,8.7,628,1,1,3,5,0,0,0,0,1,0,3,147,139.6,67.8,57.0,26.2,5,0.48,0.41,0.89,7.25,292,115,283,91,275,81,311,109,,,,,,,0.07,0.0,0.06,0.13,1.04,0.72,391,72,611,246,158,41,301,115,0.72,0.43
Leandro,Trossard,Trossard,65,100.0,100.0,116216,0,0,-5,5,2,3,6.2,5.7,8,5.7,26,False,,2023-10-09T08:30:07.911344Z,116216.jpg,3.4,1.7,False,,a,1,3,64,309087,5630,696314,3525,0.9,9.8,753,5,1,3,7,0,0,0,0,0,0,8,174,252.2,209.2,344.0,80.4,7,4.28,1.56,5.84,6.84,186,77,115,81,57,34,103,66,4.0,,,,,,0.51,0.0,0.19,0.7,0.82,0.84,45,26,29,15,116,60,147,43,0.84,0.36
Benjamin,White,White,56,100.0,100.0,198869,0,0,1,-1,2,2,3.5,3.0,1,3.0,29,False,,2023-11-12T02:00:08.673390Z,198869.jpg,3.5,10.4,False,,a,1,3,78,1452856,10946,1401686,34840,0.5,13.9,1745,1,2,7,21,0,0,0,5,0,0,7,395,398.0,309.5,119.0,82.7,20,0.75,2.23,2.98,15.72,74,26,67,11,177,34,98,15,,,,,,,0.04,0.0,0.12,0.16,0.81,1.08,92,7,107,27,101,17,40,12,1.03,0.36
Granit,Xhaka,Xhaka,60,0.0,0.0,84450,0,0,0,0,0,3,0.0,0.0,0,0.0,30,False,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,84450.jpg,0.0,0.0,False,,u,1,3,0,0,0,1223,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,803,350,803,350,803,350,803,350,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,62,38,789,341,802,350,690,275,0.0,0.0
Oleksandr,Zinchenko,Zinchenko,52,75.0,100.0,206325,0,0,2,-2,2,2,3.9,4.7,1,4.7,31,True,Calf injury - 75% chance of playing,2024-02-05T08:30:09.070071Z,206325.jpg,4.0,10.0,False,,d,1,3,85,1558072,21305,1260503,95991,0.9,16.3,1427,1,2,7,13,0,0,0,2,0,0,13,379,347.6,398.5,127.0,87.3,17,0.49,2.43,2.92,10.68,103,38,41,6,167,28,86,10,,,,,,,0.03,0.0,0.15,0.18,0.67,0.82,157,16,49,12,55,8,43,13,1.07,0.44
David,Raya Martin,Raya,49,100.0,100.0,154561,0,0,-1,1,0,1,4.5,4.0,2,4.0,113,False,,2023-11-13T01:00:08.923385Z,154561.jpg,3.7,6.2,False,,a,1,3,67,839805,22658,738269,18950,0.8,13.7,1620,0,0,6,18,0,1,0,0,0,31,3,304,273.4,0.0,0.0,27.3,18,0.00,0.02,0.02,13.14,163,20,767,88,761,86,304,20,,,,,,,0.0,1.72,0.0,0.0,0.73,1.0,233,8,62,5,74,8,61,11,1.0,0.33
Reiss,Nelson,Nelson,48,100.0,100.0,200641,0,0,-2,2,0,3,0.8,0.3,1,0.3,578,False,,2023-08-07T15:30:06.067296Z,200641.jpg,0.9,0.0,False,,a,1,3,9,6475,62,7816,66,0.1,1.9,113,0,0,0,0,0,0,0,1,0,0,0,29,22.6,41.5,15.0,7.8,0,0.04,0.33,0.37,1.73,442,197,339,177,398,197,421,194,,,,,,,0.03,0.0,0.26,0.29,1.38,0.0,292,190,351,167,500,238,551,197,0.0,0.0
Jurriën,Timber,J.Timber,46,0.0,0.0,445122,0,0,-4,4,0,2,0.0,0.0,0,0.0,585,False,Knee injury - Unknown return date,2023-08-12T18:00:07.121160Z,445122.jpg,0.0,0.4,False,,i,1,3,0,12529,92,479699,209,0.0,0.0,49,0,0,0,0,0,0,0,1,0,0,0,3,3.6,2.4,0.0,0.6,1,0.00,0.01,0.01,0.28,488,180,447,164,747,260,492,177,,,,,,,0.0,0.0,0.02,0.02,0.51,0.0,349,50,695,251,760,259,241,90,1.84,0.0
